Location,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Channel Islands,144.829,145.715,146.671,147.687,148.725,149.793,150.901,152.038,153.17,154.294,155.411,156.513,157.581,158.603,159.581,160.497,161.358,162.18,162.969,163.758,164.541,165.314,166.083
Chile,14497.826,14694.835,14887.756,15076.952,15262.754,15444.969,15623.635,15799.542,15973.778,16147.064,16319.792,16491.687,16661.942,16829.442,16993.354,17153.357,17309.746,17462.982,17613.798,17762.681,17909.754,18054.726,18197.209
China,1249981.441,1259066.974,1267441.503,1275406.699,1283198.97,1290937.649,1298646.577,1306343.911,1314007.478,1321623.49,1329209.094,1336800.506,1344415.227,1352068.091,1359755.102,1367480.264,1375198.619,1382793.212,1390110.388,1397028.553,1403500.365,1409517.397,1415045.928
"China, Hong Kong SAR",6241.81,6356.47,6473.836,6579.564,6663.654,6722.306,6759.491,6782.571,6802.597,6827.761,6860.376,6898.397,6940.323,6983.272,7025.221,7065.815,7106.399,7148.571,7194.563,7245.701,7302.843,7364.883,7428.887
"China, Macao SAR",393.567,401.564,409.837,418.604,427.979,438.081,448.896,460.147,471.453,482.559,493.32,503.823,514.348,525.313,536.969,549.439,562.531,575.841,588.781,600.942,612.167,622.567,632.418
"China, Taiwan Province of China",21364.13,21483.508,21595.372,21711.573,21840.235,21985.282,22143.337,22306.338,22462.374,22602.886,22725.478,22833.013,22928.526,23017.055,23102.406,23185.01,23263.897,23339.858,23413.652,23485.755,23556.706,23626.456,23694.089
Colombia,38049.038,38645.411,39234.062,39819.279,40403.958,40988.909,41572.491,42152.151,42724.163,43285.634,43835.722,44374.572,44901.544,45416.181,45918.097,46406.646,46881.475,47342.981,47791.911,48228.697,48653.419,49065.615,49464.683
Comoros,488.627,501.953,515.385,528.848,542.357,555.888,569.479,583.211,597.228,611.627,626.425,641.62,657.229,673.252,689.692,706.569,723.868,741.5,759.385,777.424,795.601,813.912,832.347
Congo,2879.222,2962.47,3048.453,3136.344,3225.727,3315.806,3407.18,3502.519,3605.439,3718.243,3842.365,3976.246,4115.435,4253.712,4386.693,4512.73,4633.363,4751.393,4871.101,4995.648,5125.821,5260.75,5399.895
Cook Islands,18.815,18.569,18.295,18.124,18.122,18.322,18.702,19.148,19.522,19.71,19.696,19.511,19.212,18.868,18.545,18.257,17.996,17.767,17.588,17.449,17.379,17.38,17.411
Costa Rica,3596.732,3682.725,3767.373,3848.723,3925.443,3996.798,4063.204,4125.971,4187.038,4247.841,4308.794,4369.469,4429.508,4488.263,4545.28,4600.474,4654.122,4706.401,4757.575,4807.852,4857.274,4905.769,4953.199
Côte d'Ivoire,14995.249,15445.986,15884.552,16300.233,16686.561,17040.152,17366.517,17679.355,17997.738,18336.303,18699.435,19085.941,19497.986,19936.366,20401.331,20895.311,21418.603,21966.312,22531.35,23108.472,23695.919,24294.75,24905.843
Croatia,4574.887,4532.399,4491.902,4456.433,4428.072,4408.08,4395.819,4388.946,4383.92,4378.057,4370.699,4362.266,4352.428,4341.084,4328.153,4313.371,4296.526,4277.806,4257.533,4236.016,4213.265,4189.353,4164.783
Cuba,10961.012,11013.983,11064.097,11110.004,11150.736,11186.542,11217.998,11244.885,11266.941,11284.253,11296.233,11303.687,11309.754,11318.602,11333.051,11354.651,11382.146,11412.167,11439.767,11461.432,11475.982,11484.636,11489.082
Curaçao,141.983,139.569,136.891,134.311,132.099,130.277,128.829,128.021,128.157,129.394,131.898,135.498,139.73,143.933,147.608,150.593,152.985,154.895,156.512,158.01,159.371,160.539,161.577
Cyprus,873.423,891.192,908.704,926.05,943.286,960.282,976.966,993.563,1010.41,1027.658,1045.509,1063.712,1081.563,1098.076,1112.607,1124.835,1135.062,1143.896,1152.309,1160.985,1170.125,1179.551,1189.085
Czechia,10350.57,10338.593,10323.488,10306.645,10289.594,10271.204,10252.439,10239.277,10239.536,10258.176,10298.288,10356.586,10423.794,10486.845,10536.286,10568.715,10586.755,10594.481,10598.526,10603.762,10610.947,10618.303,10625.25
Dem. People's Republic of Korea,22113.548,22335.638,22537.336,22731.985,22929.075,23131.81,23336.681,23538.54,23729.498,23904.167,24061.097,24203.289,24335.146,24463.021,24591.599,24722.298,24854.034,24985.976,25116.363,25243.917,25368.62,25490.965,25610.672
Democratic Republic of the Congo,42770.544,43830.146,44840.529,45898.667,47076.387,48394.338,49835.756,51390.033,53034.217,54751.476,56543.011,58417.562,60373.608,62409.435,64523.263,66713.597,68978.682,71316.033,73722.86,76196.619,78736.153,81339.988,84004.989
Denmark,5254.86,5277.711,5300.379,5321.774,5341.194,5358.062,5372.801,5386.968,5402.761,5421.702,5444.303,5469.957,5497.795,5526.447,5554.844,5582.873,5610.66,5637.817,5663.914,5688.695,5711.87,5733.551,5754.356
Djibouti,643.682,660.953,680.612,700.099,717.584,732.711,746.221,758.615,770.752,783.254,796.208,809.402,822.934,836.84,851.146,865.937,881.185,896.688,912.164,927.414,942.333,956.985,971.408
Dominica,71.145,70.753,70.29,69.903,69.676,69.67,69.824,70.093,70.379,70.627,70.807,70.95,71.074,71.229,71.44,71.718,72.044,72.4,72.778,73.162,73.543,73.925,74.308
Dominican Republic,8029.113,8163.472,8296.375,8429.112,8562.622,8697.126,8832.285,8967.76,9102.998,9237.566,9371.338,9504.353,9636.52,9767.758,9897.985,10027.095,10154.95,10281.296,10405.844,10528.394,10648.791,10766.998,10882.996
Eastern Africa,232413.444,239215.718,246345.989,253675.516,261113.89,268638.612,276291.511,284122.793,292207.492,300599.706,309313.054,318329.032,327631.032,337191.043,346987.498,357015.563,367279.164,377775.443,388502.716,399458.026,410637.987,422036.243,433643.132
Eastern Asia,1474822.445,1485085.081,1494568.181,1503584.325,1512377.595,1521071.205,1529686.044,1538233.613,1546681.947,1555011.573,1563236.216,1571398.378,1579531.194,1587670.908,1595828.675,1604014.4,1612178.334,1620194.727,1627896.076,1635150.365,1641908.531,1648164.577,1653883.533
Eastern Europe,308748.143,307737.757,306568.509,305292.681,303957.552,302580.116,301183.921,299829.699,298588.342,297510.641,296621.738,295913.454,295359.343,294914.429,294540.681,294233.056,293987.914,293768.982,293532.237,293243.708,292885.221,292454.364,291953.328
Ecuador,11683.479,11924.993,12163.885,12398.691,12628.596,12852.755,13072.06,13289.601,13509.647,13735.233,13967.48,14205.453,14447.562,14691.275,14934.69,15177.355,15419.666,15661.547,15903.112,16144.368,16385.068,16624.858,16863.425
Egypt,64933.456,66151.117,67378.056,68626.664,69905.988,71226.94,72590.118,73981.942,75381.899,76778.149,78159.048,79537.253,80953.881,82465.022,84107.606,85897.561,87813.257,89807.433,91812.566,93778.172,95688.681,97553.151,99375.741
El Salvador,5671.925,5727.755,5778.706,5825.187,5867.626,5905.962,5940.303,5971.535,6000.775,6028.961,6056.478,6083.475,6110.301,6137.276,6164.626,6192.56,6221.246,6250.777,6281.189,6312.478,6344.722,6377.853,6411.558
Equatorial Guinea,523.999,544.636,566.673,589.938,614.323,639.762,666.407,694.611,724.817,757.317,792.217,829.327,868.418,909.111,951.104,994.29,1038.593,1083.746,1129.424,1175.389,1221.49,1267.689,1313.894
Eritrea,3116.379,3161.35,3224.223,3302.263,3392.801,3497.124,3614.639,3738.265,3858.623,3969.007,4066.648,4153.332,4232.636,4310.334,4390.84,4474.69,4560.977,4650.998,4746.045,4846.976,4954.645,5068.831,5187.948
Estonia,1417.736,1409.674,1406.35,1403.789,1399.112,1391.729,1382.732,1372.909,1363.565,1355.648,1349.297,1344.072,1339.712,1335.83,1332.102,1328.449,1324.934,1321.56,1318.359,1315.321,1312.442,1309.632,1306.788
Ethiopia,59155.148,60976.45,62794.151,64640.054,66537.331,68492.257,70497.192,72545.144,74624.405,76727.083,78850.689,81000.409,83184.892,85416.253,87702.67,90046.756,92444.183,94887.724,97366.774,99873.033,102403.196,104957.438,107534.882
Europe,728232.51,728031.016,727650.06,727316.733,727200.939,727354.723,727754.272,728396.633,729252.505,730289.682,731530.909,732963.756,734474.49,735911.175,737163.58,738177.804,738976.542,739621.182,740210.73,740813.959,741447.158,742073.853,742648.01
Faeroe Islands,46.058,46.251,46.58,46.937,47.258,47.526,47.769,47.974,48.143,48.285,48.383,48.448,48.485,48.517,48.55,48.608,48.666,48.747,48.842,48.965,49.117,49.29,49.489
Falkland Islands (Malvinas),2.538,2.637,2.736,2.815,2.882,2.924,2.947,2.951,2.954,2.939,2.921,2.907,2.885,2.867,2.852,2.856,2.858,2.87,2.887,2.898,2.91,2.91,2.922
